bowler,balls,runs_conceded,wickets,dot_balls,fours_conceded,sixes_conceded,format,overs,economy,bowling_average,bowling_strike_rate,dot_ball_percent,boundary_runs_conceded,boundary_percent_conceded,balls_per_boundary
SS Sarkar,25,34,1,4,4,0,IPL,4.2,8.1,34.0,25.0,16.0,16,47.06,6.25
GH Vihari,43,48,1,17,5,1,IPL,7.2,6.67,48.0,43.0,39.53,26,54.17,7.17
GR Napier,24,28,1,8,2,1,IPL,4.0,7.0,28.0,24.0,33.33,14,50.0,8.0
D Brevis,3,8,1,1,2,0,IPL,0.5,16.0,8.0,3.0,33.33,8,100.0,1.5
M Shahrukh Khan,18,29,1,4,1,2,IPL,3.0,9.67,29.0,18.0,22.22,16,55.17,6.0
LB Williams,42,74,1,12,7,3,IPL,7.0,10.57,74.0,42.0,28.57,46,62.16,4.2
V Viyaskanth,60,90,1,16,4,6,IPL,10.0,9.0,90.0,60.0,26.67,52,57.78,6.0
T Henderson,36,41,1,14,5,0,IPL,6.0,6.83,41.0,36.0,38.89,20,48.78,7.2
A Nel,18,31,1,7,3,2,IPL,3.0,10.33,31.0,18.0,38.89,24,77.42,3.6
CL White,46,86,1,8,5,6,IPL,7.7,11.17,86.0,46.0,17.39,56,65.12,4.18
IC Porel,26,42,1,7,6,1,IPL,4.3,9.77,42.0,26.0,26.92,30,71.43,3.71
MD Shanaka,38,62,1,7,5,2,IPL,6.3,9.84,62.0,38.0,18.42,32,51.61,5.43
AA Noffke,25,41,1,6,2,2,IPL,4.2,9.76,41.0,25.0,24.0,20,48.78,6.25
RG More,37,63,1,4,5,1,IPL,6.2,10.16,63.0,37.0,10.81,26,41.27,6.17
LMP Simmons,18,34,1,2,2,2,IPL,3.0,11.33,34.0,18.0,11.11,20,58.82,4.5
SB Joshi,55,82,1,18,6,5,IPL,9.2,8.91,82.0,55.0,32.73,54,65.85,5.0
GS Sandhu,48,86,1,9,8,2,IPL,8.0,10.75,86.0,48.0,18.75,44,51.16,4.8
BJ Dwarshuis,26,51,1,6,4,3,IPL,4.3,11.86,51.0,26.0,23.08,34,66.67,3.71
Raghu Sharma,90,130,1,23,5,8,IPL,15.0,8.67,130.0,90.0,25.56,68,52.31,6.92
M Vijay,37,49,0,8,6,0,IPL,6.2,7.9,,,21.62,24,48.98,6.17
DA Warner,2,2,0,0,0,0,IPL,0.3,6.67,,,0.0,0,0.0,
KS Williamson,18,31,0,2,1,2,IPL,3.0,10.33,,,11.11,16,51.61,6.0
CJ Green,17,24,0,6,4,0,IPL,2.8,8.57,,,35.29,16,66.67,4.25
Monu Kumar,16,20,0,4,2,0,IPL,2.7,7.41,,,25.0,8,40.0,8.0
VS Yeligati,32,61,0,6,7,2,IPL,5.3,11.51,,,18.75,40,65.57,3.56
Jalaj S Saxena,18,27,0,5,4,0,IPL,3.0,9.0,,,27.78,16,59.26,4.5
Suryansh Shedge,19,40,0,1,3,2,IPL,3.2,12.5,,,5.26,24,60.0,3.8
Karim Janat,6,30,0,0,3,3,IPL,1.0,30.0,,,0.0,30,100.0,1.0
